DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
4920	finafloxacin	Acute otitis externa	C0149948	30250000	DOID:10518
343	beraprost	Pulmonary Hypertensive Arterial Disease	C2973725	11399002	
4921	safinamide	Idiopathic Parkinsonism	C0030567	49049000	DOID:14330
4922	ceftolozane	Urinary Tract Infections	C0042029	68566005	
4922	ceftolozane	Infectious Disease of Abdomen	C1112209	128070006	
1166	fenticonazole	Vulvovaginal Candidiasis	C0700345	72605008	DOID:2272
3548	sitaxentan	Pulmonary Hypertensive Arterial Disease	C2973725	11399002	
4923	nivolumab	Metastatic Malignant Melanoma	C0860594	443493003	
4164	liraglutide	Weight Loss	C0043096	89362005	
4157	lercanidipine	Hypertension	C0020538	38341003	DOID:10763
2655	tibolone	Post-Menopausal Osteoporosis Prevention	C0029458	102447009	
2655	tibolone	Post-Menopausal Symptoms			
4924	pembrolizumab	Metastatic Malignant Melanoma	C0860594	443493003	
2864	zipeprol	Cough	C0010200	49727002	
4150	rimonabant	Obesity	C0028754	414916001	DOID:9970
2361	reboxetine	Major Depressive Disorder	C1269683	370143000	
362	bezafibrate	Hypercholesterolemia	C0020443	13644009	
4516	tetracosactide	Cosyntropin preparation	C0010192	126188005	
2658	tienilic acid	Hypertension	C0020538	38341003	DOID:10763
4145	lutein	Age related macular degeneration	C0242383	267718000	DOID:10871
4145	lutein	Tear Film Insufficiency	C0013238	46152009	DOID:10140
4145	lutein	Meibomian gland dysfunction	C1275684	397549002	
4915	blinatumomab	Pre B-cell acute lymphoblastic leukemia	C0349636	277572006	
3608	tipifarnib	Acute Myeloid Leukemia	C0023467	91861009	DOID:9119
2368	reproterol	Bronchial Asthma	C0004096	195967001	DOID:2841
4190	ruxolitinib	Polycythemia Vera	C0032463	109992005	DOID:8432
1579	lidocaine	Premature Ejaculation	C0033038	44001008	DOID:13709
2265	prilocaine	Premature Ejaculation	C0033038	44001008	DOID:13709
2371	retapamulin	Superficial bacterial infection of skin	C0342985	275441009	
4916	aflibercept	Neovascular Age-Related Macular Degeneration	C0271084	414173003	DOID:10873
4916	aflibercept	Central Retinal Vein Occlusion with Macular Edema	C0339498	232039004	
4916	aflibercept	Branch Retinal Vein Occlusion with Macular Edema	C0339507	232048009	
4916	aflibercept	Diabetic macular edema	C0730285	312912001	DOID:9191
4916	aflibercept	Metastasis from malignant tumor of colon	C1282500	314998002	
3961	ilaprazole	Gastroesophageal Reflux	C0017168	235595009	DOID:8534
4898	netupitant	Chemotherapy-induced nausea and vomiting	C0401160	236084000	
4899	ledipasvir	Chronic Hepatitis C	C0524910	128302006	
2408	roxatidine	Gastric Ulcer	C0038358	397825006	DOID:10808
2070	pazufloxacin	Sepsis due to Streptococcus pneumoniae	C2887084	448421008	
4900	diquafosol	Tear Film Insufficiency	C0013238	46152009	DOID:10140
4901	insulin glargine	Type 1 Diabetes Mellitus	C0011854	46635009	DOID:9744
4901	insulin glargine	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
1537	lafutidine	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003	
272	azelnidipine	Hypertension	C0020538	38341003	DOID:10763
4902	imidafenacin	Bladder Hyperactivity	C0403643	236633002	
1638	maxacalcitol	Pustular Psoriasis	C0152081	200973000	DOID:8503
972	duloxetine	Female stress incontinence	C0038437	60241006	DOID:724
4903	nintedanib	Idiopathic Pulmonary Fibrosis	C1800706	28168000	DOID:0050156
4904	adalimumab	Rheumatoid Arthritis	C0003873	69896004	DOID:7148
4904	adalimumab	Juvenile idiopathic arthritis	C3495559	410502007	
4904	adalimumab	Psoriatic Arthritis	C0003872	33339001	DOID:9008
4904	adalimumab	Ankylosing Spondylitis	C0038013	9631008	DOID:7147
4904	adalimumab	Crohn's Disease	C0010346	34000006	
4904	adalimumab	Ulcerative Colitis	C0009324	64766004	DOID:8577
4904	adalimumab	Plaque Psoriasis	C0406317	200965009	
322	benznidazole	Infection by Trypanosoma cruzi	C0041234	77506005	
873	diethylcarbamazine	Lymphatic filariasis	C0013882	240820001	DOID:4976
990	eflornithine	African trypanosomiasis	C0041228	27031003	DOID:10112
3336	melarsoprol	African trypanosomiasis	C0041228	27031003	DOID:10112
1929	nifurtimox	Infection by Trypanosoma cruzi	C0041234	77506005	
4020	sodium stibogluconate	Leishmaniasis	C0023281	80612004	DOID:9065
2966	suramin	African trypanosomiasis	C0041228	27031003	DOID:10112
2090	pentamidine	African trypanosomiasis	C0041228	27031003	DOID:10112
4885	dulaglutide	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
2782	tulobuterol	Bronchial Asthma	C0004096	195967001	DOID:2841
2782	tulobuterol	Pulmonary Emphysema	C0034067	87433001	
1987	olprinone	Acute heart failure	C0264714	56675007	
294	beclometasone	Vasomotor Rhinitis	C0035460	8229003	DOID:4730
429	bunazosin	Essential hypertension	C0085580	59621000	DOID:10825
641	cilazapril	Hypertension	C0020538	38341003	DOID:10763
2760	tripamide	Essential hypertension	C0085580	59621000	DOID:10825
2665	tilisolol	Essential hypertension	C0085580	59621000	DOID:10825
2665	tilisolol	Acute Angina Pectoris	C0002962	194828000	
1424	imidapril	Hypertension	C0020538	38341003	DOID:10763
4886	cetilistat	Obesity	C0028754	414916001	DOID:9970
2733	trichlormethiazide	Hypertension	C0020538	38341003	DOID:10763
4887	favipiravir	Influenza	C0021400	6142004	DOID:8469
1406	ibudilast	Bronchial Asthma	C0004096	195967001	DOID:2841
4884	calfactant	Neonatal Respiratory Distress Syndrome	C0035220	46775006	DOID:12716
4299	cobicistat	HIV Infection	C0019693	86406008	DOID:526
2588	temoporfin	Neoplasm of head and neck	C0018671	255055008	DOID:11934
2588	temoporfin	Squamous Cell Carcinoma	C0007137	402815007	DOID:1749
4879	enoxaparin sodium	Deep Venous Thrombosis	C0149871	128053003	
4880	glatiramer acetate	Multiple Sclerosis	C0026769	24700007	DOID:2377
4678	oritavancin	Bacterial infection of skin	C0162627	128936008	
4678	oritavancin	Staphylococcal infection of skin	C0038166	402938009	
4678	oritavancin	Streptococcal infection of skin	C1274355	402937004	
3180	enviomycin	Pulmonary Tuberculosis	C0041327	154283005	DOID:2957
4881	suvorexant	Insomnia	C0917801	193462001	
831	dexetimide	Neuroleptic-induced Parkinsonism	C0236830	72820004	
4834	eliglustat	Gaucher's Disease	C0017205	190794006	DOID:1926
1512	itopride	Chronic gastritis	C0085695	8493009	
4607	ubidecarenone	Congestive heart failure	C0018802	42343007	DOID:6000
2779	troxipide	Gastric Ulcer	C0038358	397825006	DOID:10808
4882	istradefylline	Idiopathic Parkinsonism	C0030567	49049000	DOID:14330
1917	nicomol	Hyperlipidemia	C0020473	55822004	DOID:1168
362	bezafibrate	Hyperlipidemia	C0020473	55822004	DOID:1168
4874	efinaconazole	Toenail Onychomycosis	C1274470	403059006	
4874	efinaconazole	Onychomycosis due to Trichophyton	C0040261	402134005	
4874	efinaconazole	Onychomycosis due to Trichophyton mentagrophytes	C0276755	23549005	
4874	efinaconazole	Onychomycosis due to Dermatophyte	C0040261	402134005	
4875	daclatasvir	Chronic Hepatitis C	C0524910	128302006	
4876	belinostat	Peripheral T-cell Lymphoma	C0079774	109977009	
1404	ibandronic acid	Hypercalcemia	C0020437	66931009	DOID:12678
1118	everolimus	Angiomyolipoma of kidney	C0241961	254921004	DOID:8411
2595	tenoxicam	Arthritis	C0003864	3723001	DOID:848
4877	tavaborole	Toenail Onychomycosis	C1274470	403059006	
4877	tavaborole	Onychomycosis due to Trichophyton	C0040261	402134005	
4877	tavaborole	Onychomycosis due to Trichophyton mentagrophytes	C0276755	23549005	
4877	tavaborole	Onychomycosis due to Trichophyton rubrum	C0276754	56922006	
4878	idelalisib	Chronic Lymphoid Leukemia	C0023434	92814006	
4878	idelalisib	Follicular B-Cell Non-Hodgkin's Lymphoma	C0024301	308121000	
4878	idelalisib	Malignant lymphoma - small lymphocytic	C0855095	302841002	
777	dalbavancin	Staphylococcal infection of skin	C0038166	402938009	
777	dalbavancin	Bacterial infection of skin	C0162627	128936008	
4873	tedizolid phosphate	Staphylococcal infection of skin	C0038166	402938009	
4873	tedizolid phosphate	Bacterial infection of skin	C0162627	128936008	
4873	tedizolid phosphate	Streptococcal infection of skin	C1274355	402937004	
1238	formestane	Breast Carcinoma	C3163805	447782002	
2857	zaleplon	Sleep Initiation and Maintenance Disorders	C0021603	194437008	
4871	calcium polystyrene sulfonate	Hyperkalemia	C0020461	14140009	
4872	ataluren	Duchenne Muscular Dystrophy	C0013264	76670001	DOID:11723
777	dalbavancin	Skin and Skin Structure Infection	C0178299	19824006	
1796	mianserin	Major Depressive Disorder	C1269683	370143000	
4741	bedaquiline	Multidrug-resistant Pulmonary Tuberculosis	C0206525	423709000	
1602	loprazolam	Insomnia	C0917801	193462001	
4865	mebanazine	Depression	C0011581	35489007	DOID:2848
3632	methylchromone	Angina	C0002962	194828000	
4382	mirabegron	Bladder Hyperactivity	C0403643	236633002	
4857	estrone sulphate	Atrophic Vaginitis associated with Menopause			
4857	estrone sulphate	Hypoestrogenism Due To Bilateral Oophorectomy			
3355	methyl nicotinate	Mild Arthritic Pain			
3627	trichloroacetic acid	External Condylomata Acuminata			
4866	ceritinib	Anaplastic Lymphoma Kinase Positive Non-Small Cell Lung Cancer	C0007131	254637007	DOID:3908
2201	piretanide	Edema	C0013604	267038008	
2201	piretanide	Hypertension	C0020538	38341003	DOID:10763
600	chlormadinone	Menorrhagia	C0025323	386692008	
600	chlormadinone	Endometriosis	C0014175	129103003	DOID:289
2557	talinolol	Hypertension	C0020538	38341003	DOID:10763
1993	opipramol	Depression	C0011581	35489007	DOID:2848
4868	umifenovir	Influenza	C0021400	6142004	DOID:8469
4868	umifenovir	Influenza Prevention	C0021400	6142004	DOID:8469
4867	dexrabeprazole	Gastroesophageal Reflux	C0017168	235595009	DOID:8534
4867	dexrabeprazole	Systemic Mastocytosis	C0221013	397016004	DOID:349
4867	dexrabeprazole	Multiple Endocrine Neoplasia	C0027662	60549007	
4867	dexrabeprazole	Zollinger-Ellison Syndrome	C0043515	53132006	
4867	dexrabeprazole	Reflux Esophagitis	C0014869	57643001	DOID:13976
4867	dexrabeprazole	Erosive Esophagitis	C0267055	40719004	
4832	naloxegol	Opioid-Induced Constipation	C0267511	21782001	
4833	gemigliptin	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
4835	ethacizine	Ventricular Arrhythmias	C0085612	44103008	
4835	ethacizine	Supraventricular Arrhythmias	C0428974	72654001	
4836	afamelanotide	Erythropoietic Protoporphyria	C0162568	51022005	DOID:13270
4495	aluminium chlorohydrate	Hyperhidrosis	C0020458	312230002	
4839	aprotinin	Prevention of Perioperative Blood Loss			
4840	bemiparin	Pulmonary Embolism	C0034065	59282003	DOID:9477
4840	bemiparin	Deep Venous Thrombosis	C0149871	128053003	
4842	calcium glubionate	Hypocalcemia	C0020598	5291005	
4843	calcium lactate gluconate	Hypocalcemia	C0020598	5291005	
4844	calcium levulinate	Hypocalcemia	C0020598	5291005	
4846	ecallantide	Hereditary Angioedema	C0019243	82966003	DOID:1558
2726	triamcinolone acetonide	Seasonal Allergic Rhinitis	C0018621	367498001	
1480	iproniazid	Depression	C0011581	35489007	DOID:2848
3065	carbarsone	Acute Intestinal Amebiasis	C0152499	39224005	
1810	miltefosine	Cutaneous Leishmaniasis	C0023283	240637006	DOID:9111
1810	miltefosine	Mucosal Leishmaniasis	C1328252	403135004	DOID:9155
4829	apremilast	Psoriatic Arthritis	C0003872	33339001	DOID:9008
4830	empagliflozin	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
4799	vilanterol	Bronchial Asthma	C0004096	195967001	DOID:2841
4554	fluticasone furoate	Bronchial Asthma	C0004096	195967001	DOID:2841
4831	vintafolide	Platinum Resistant Ovarian Carcinoma			
971	droxidopa	Symptomatic Neurogenic Orthostatic Hypotension			
2303	propranolol	Proliferating Infantile Haemangioma			
4825	laquinimod	Relapsing and Remitting Multiple Sclerosis	C0751967	426373005	DOID:2378
4826	metreleptin	Congenital Generalized Lipodystrophy			
4826	metreleptin	Acquired Generalized Lipodystrophy	C0271693	86907008	
4826	metreleptin	Acquired Partial Lipodystrophy	C0220989	75659004	
2638	thiotepa	Conditioning prior to Allogeneic Hematopoietic Stem Cell Transplantation			
3442	phenoxyethanol	Antiseptic	C0443072	261276004	
4742	bleomycin	Metastatic Malignant Tumor of Cervix			
395	brimonidine	Facial Erythema of Rosacea			
4818	florbetaben F18	Positron Emission Tomography Imaging	C0032743	82918005	
4818	florbetaben F18	Positron Emission Tomography Imaging of beta-amyloid neuritic plaque density			
1118	everolimus	Locally Advanced Breast Carcinoma			
1118	everolimus	Hormone Receptor Positive Breast Cancer	C1562029	417181009	
2480	stiripentol	Myoclonic Epilepsy	C0014550	37356005	DOID:308
2480	stiripentol	Severe Myoclonic Epilepsy in Infancy	C0751122	230437002	
4756	polaprezinc	Peptic Ulcer	C0030920	13200003	DOID:750
4819	delamanid	Multidrug-resistant Pulmonary Tuberculosis	C0206525	423709000	
790	decitabine	Acute Myeloid Leukemia	C0023467	91861009	DOID:9119
823	detajmium	Ventricular Arrhythmias	C0085612	44103008	
823	detajmium	Supraventricular Arrhythmias	C0428974	72654001	
1299	gliclazide	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
4820	tasimelteon	Non-24-hour Sleep-wake Disorder in Blind	C0393772	230496009	
4774	etohexadiol	Insect Repellent	C0021572	75627006	
4116	telavancin	Bacterial Pneumonia	C0004626	53084003	DOID:874
4806	vortioxetine	Major Depressive Disorder	C1269683	370143000	
483	captodiame	Anxiety Disorders	C0003469	197480006	DOID:2030
147	ambroxol	Sore Throat	C0242429	267102003	
981	ecabet	Peptic Ulcer	C0030920	13200003	DOID:750
3839	tasosartan	Hypertension	C0020538	38341003	DOID:10763
3522	reserpiline	Hypertension	C0020538	38341003	DOID:10763
2591	tenitramine	Angina	C0002962	194828000	
2354	ramatroban	Allergic Rhinitis	C2607914	61582004	
4418	diethyltoluamide	Insect Repellent	C0021572	75627006	
4413	dibromotyrosine	Hyperthyroidism	C0020550	34486009	DOID:7998
4412	diamorphine	Severe Pain	C0278140	76948002	
715	clortermine	Anorexia	C0003125	56882008	DOID:8689
2223	plicamycin	Refractory Malignant Tumor of Testis			
4788	mercurochrome	Antiseptic	C0443072	261276004	
4752	levobetaxolol	Open Angle Glaucoma	C0017612	84494001	DOID:1067
4752	levobetaxolol	Ocular Hypertension	C0028840	4210003	DOID:9282
2427	secnidazole	Giardiasis	C0017536	58265007	DOID:10718
2427	secnidazole	Trichomoniasis	C0040921	56335008	DOID:1947
497	carbimazole	Hyperthyroidism	C0020550	34486009	DOID:7998
497	carbimazole	Graves' Disease	C0018213	353295004	DOID:12361
1810	miltefosine	Visceral Leishmaniasis	C0023290	186803007	DOID:9146
2435	sertindole	Schizophrenia	C0036341	58214004	
2747	trimazosin	Hypertension	C0020538	38341003	DOID:10763
4807	riociguat	Chronic Thromboembolic Pulmonary Hypertension	C2363973	233947005	
4807	riociguat	Pulmonary Hypertensive Arterial Disease	C2973725	11399002	
4808	ipidacrine	Alzheimer's Disease	C0002395	26929004	DOID:10652
2703	tolperisone	Muscle Spasm	C0037763	45352006	
4809	macitentan	Pulmonary Hypertensive Arterial Disease	C2973725	11399002	
2173	pinacidil	Hypertension	C0020538	38341003	DOID:10763
958	doxifluridine	Primary Malignant Neoplasm of Gastrointestinal Tract	C1306632	363745004	
4301	Flutemetamol (18F)	Positron Emission Tomography Imaging	C0032743	82918005	
4622	linaclotide	Irritable Bowel Syndrome	C0022104	10743008	DOID:9778
3644	vinflunine	Transitional Cell Urologic Neoplasms			
4300	elvitegravir	HIV Infection	C0019693	86406008	DOID:526
2044	paclitaxel	Metastatic Pancreatic Cancer	C0346976	94459006	
1429	imiquimod	Warts	C0043037	30285000	DOID:11165
2104	perflutren	Contrast Agent for Echocardiography			
2998	teicoplanin	Staphylococcal Infections	C0038160	56038003	
4233	sugammadex	Reversal of Neuromuscular Blockade	C0412773	241703000	
4716	ponatinib	Philadelphia Chromosome Positive Acute Lymphoid Leukemia	C1960397	425688002	
4804	palifermin	Radiation-Induced Mucositis	C0392190	109257007	
4804	palifermin	Chemotherapy-Induced Mucositis			
4141	udenafil	Erectile Dysfunction	C0242350	397803000	
2672	tinoridine	Pain	C0030193	22253000	
4113	prasugrel	Acute Coronary Syndrome	C0948089	394659003	
4113	prasugrel	Unstable Angina Pectoris	C0948089	394659003	
2063	parecoxib	Postoperative Acute Pain	C2215257	107401000119105	
4634	teriflunomide	Multiple Sclerosis	C0026769	24700007	DOID:2377
4365	vernakalant	Ventricular Rate Control in Atrial Fibrillation			
1807	miglustat	Niemann-Pick type C disease	C0220756	66751000	DOID:14504
4318	afatinib	Epithelial Growth Factor Receptor Positive Non-Small Cell Lung Cancer	C1960925	426964009	
4314	aceclidine	Glaucoma	C0017601	23986001	DOID:1686
4303	eslicarbazepine acetate	Partial Onset Seizure	C0014547	29753000	DOID:2234
4643	ibuprofen lysine	Patent Ductus Arteriosus	C0013274	83330001	DOID:13832
4641	levmetamfetamine	Nasal Congestion	C0027424	68235000	
4622	linaclotide	Constipation Predominant Irritable Bowel Syndrome	C1868889	440630006	
4622	linaclotide	Chronic Idiopathic Constipation	C0267509	82934008	
2230	prajmalium	Ventricular Arrhythmias	C0085612	44103008	
654	cinnarizine	Vertigo	C0042571	399153001	
654	cinnarizine	Nausea	C0027497	422587007	
654	cinnarizine	Motion Sickness	C0026603	37031009	DOID:2951
1298	glibornuride	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
4805	dolutegravir	HIV Infection	C0019693	86406008	DOID:526
43	aceclofenac	Rheumatoid Arthritis	C0003873	69896004	DOID:7148
43	aceclofenac	Ankylosing Spondylitis	C0038013	9631008	DOID:7147
43	aceclofenac	Osteoarthritis	C0029408	396275006	DOID:381
43	aceclofenac	Periarthritis Scapulohumeralis			
43	aceclofenac	Back Pain	C0004604	161891005	
4794	gramicidin	Bacterial Conjunctivitis	C0009768	128350005	DOID:9700
4794	gramicidin	Bacterial Blepharitis	C0729587	312219000	
4794	gramicidin	Bacterial Keratoconjunctivitis			
4794	gramicidin	Blepharoconjunctivitis	C0005743	68659002	DOID:2456
4794	gramicidin	Bacterial Keratitis	C0854211	314557000	
4785	sinecatechins	External Condylomata Acuminata			
4785	sinecatechins	Perianal Condylomata Acuminata	C0343730	266114001	
4779	sodium picosulfate	Preparation for Colonoscopy			
4717	benzylpenicilloyl polylysine	Hypersensitivity Drug Reactions			
4706	sodium aurothiomalate	Rheumatoid Arthritis	C0003873	69896004	DOID:7148
2027	oxprenolol	Hypertension	C0020538	38341003	DOID:10763
2027	oxprenolol	Angina	C0002962	194828000	
2027	oxprenolol	Ventricular Arrhythmias	C0085612	44103008	
2027	oxprenolol	Anxiety	C0003467	48694002	
1930	nifurtoinol	Urinary Tract Infections	C0042029	68566005	
4116	telavancin	Pneumonia due to Staphylococcus Aureus	C2349530	441658007	
4727	tacalcitol	Plaque Psoriasis	C0406317	200965009	
4723	succinimide	Hyperoxaluria	C0020501	17901006	DOID:2977
579	ceruletide	Diagnostic Aid for Biliary Tract			
4797	sodium nitrite	Cyanide Toxicity			
4790	sodium hypochlorite	Skin and Skin Structure Infection	C0178299	19824006	
4684	perampanel	Partial Onset Seizure	C0014547	29753000	DOID:2234
4665	brilliant green	Prevention of Infection in the Umbilical Cord Area of Newborn			
4653	chloramphenicol succinate	Salmonella Infections	C0036117	302231008	
4653	chloramphenicol succinate	Acute Infections Caused by Salmonella Typhi	C0041466	4834000	DOID:13258
4179	gadobutrol	Magnetic Resonance Imaging	C0024485	113091000	
3035	boric acid	Antiseptic	C0443072	261276004	
2105	pergolide	Parkinsonism	C0242422	32798002	DOID:13548
99	agomelatine	Major Depressive Disorder	C1269683	370143000	
2878	ziconotide	Spinal Pain	C0423673	48926009	
4184	ticagrelor	Peripheral Vascular Disease	C0085096	400047006	
4192	tafamidis	Amyloidosis	C0002726	17602002	DOID:9120
4190	ruxolitinib	Myeloproliferative Disorders			
4188	deferiprone	beta-Thalassemia	C0005283	65959000	DOID:12241
4188	deferiprone	Iron Overload	C0282193	60737008	
4799	vilanterol	Chronic Bronchitis	C0008677	63480004	DOID:6132
4799	vilanterol	Pulmonary Emphysema	C0034067	87433001	
4799	vilanterol	Chronic Obstructive Pulmonary Disease	C0024117	13645005	DOID:3083
4791	masitinib	Pancreatic Adenocarcinoma	C0281361	700423003	DOID:4074
4800	radium Ra 223 dichloride	Metastatic Castration-Resistant Prostate Cancer			
4326	laropiprant	Dyslipidemia	C0242339	370992007	
2835	nicotinic acid	Dyslipidemia	C0242339	370992007	
4285	Florbetapir F-18	Positron Emission Tomography Imaging	C0032743	82918005	
2960	mifamurtide	Osteosarcoma of Bone	C0585442	307576001	DOID:3347
4473	prepopik	Preparation for Colonoscopy			
3391	noxytiolin	Bladder Infection	C0600041	236620008	
205	amyl nitrite	Cyanide Toxicity			
3229	fumaric acid	Psoriasis	C0033860	9014002	DOID:8893
1921	nicotinyl alcohol	Meniere's Disease	C0025281	13445001	DOID:9849
