DRUG_ID	DRUG_NAME	TYPE	CLASS_SOURCE_ID	CLASS	SOURCE
3237	fluperolone	PA	D000305	Adrenal Cortex Hormones	MeSH
3238	fluprednidene acetate	PA	D000305	Adrenal Cortex Hormones	MeSH
1216	fluprednisolone	PA	D000305	Adrenal Cortex Hormones	MeSH
1217	fludroxycortide	PA	D000305	Adrenal Cortex Hormones	MeSH
1662	medrysone	PA	D000305	Adrenal Cortex Hormones	MeSH
1768	methylprednisolone	PA	D000305	Adrenal Cortex Hormones	MeSH
1771	methylprednisolone succinate	PA	D000305	Adrenal Cortex Hormones	MeSH
2060	paramethasone	PA	D000305	Adrenal Cortex Hormones	MeSH
2243	prednicarbate	PA	D000305	Adrenal Cortex Hormones	MeSH
2245	prednisolone	PA	D000305	Adrenal Cortex Hormones	MeSH
2246	prednisolone succinate	PA	D000305	Adrenal Cortex Hormones	MeSH
2253	prednisone	PA	D000305	Adrenal Cortex Hormones	MeSH
2384	rimexolone	PA	D000305	Adrenal Cortex Hormones	MeSH
2725	triamcinolone	PA	D000305	Adrenal Cortex Hormones	MeSH
2726	triamcinolone acetonide	PA	D000305	Adrenal Cortex Hormones	MeSH
4067	triamcinolone benetonide	PA	D000305	Adrenal Cortex Hormones	MeSH
40	acebutolol	PA	D018663	Adrenergic Agents	MeSH
95	adrafinil	PA	D018663	Adrenergic Agents	MeSH
105	salbutamol	PA	D018663	Adrenergic Agents	MeSH
115	alfuzosin	PA	D018663	Adrenergic Agents	MeSH
137	alprenolol	PA	D018663	Adrenergic Agents	MeSH
155	amidefrine	PA	D018663	Adrenergic Agents	MeSH
180	amitriptyline	PA	D018663	Adrenergic Agents	MeSH
190	amosulalol	PA	D018663	Adrenergic Agents	MeSH
191	amoxapine	PA	D018663	Adrenergic Agents	MeSH
195	amfetamine	PA	D018663	Adrenergic Agents	MeSH
229	apraclonidine	PA	D018663	Adrenergic Agents	MeSH
237	arbutamine	PA	D018663	Adrenergic Agents	MeSH
243	arotinolol	PA	D018663	Adrenergic Agents	MeSH
255	atenolol	PA	D018663	Adrenergic Agents	MeSH
256	atomoxetine	PA	D018663	Adrenergic Agents	MeSH
295	befunolol	PA	D018663	Adrenergic Agents	MeSH
329	benzphetamine	PA	D018663	Adrenergic Agents	MeSH
356	betaxolol	PA	D018663	Adrenergic Agents	MeSH
359	betanidine	PA	D018663	Adrenergic Agents	MeSH
360	bevantolol	PA	D018663	Adrenergic Agents	MeSH
380	bisoprolol	PA	D018663	Adrenergic Agents	MeSH
384	bitolterol	PA	D018663	Adrenergic Agents	MeSH
389	bopindolol	PA	D018663	Adrenergic Agents	MeSH
394	bretylium	PA	D018663	Adrenergic Agents	MeSH
395	brimonidine	PA	D018663	Adrenergic Agents	MeSH
3046	bufetolol	PA	D018663	Adrenergic Agents	MeSH
424	bufuralol	PA	D018663	Adrenergic Agents	MeSH
429	bunazosin	PA	D018663	Adrenergic Agents	MeSH
433	bupranolol	PA	D018663	Adrenergic Agents	MeSH
453	butofilolol	PA	D018663	Adrenergic Agents	MeSH
487	carazolol	PA	D018663	Adrenergic Agents	MeSH
520	carteolol	PA	D018663	Adrenergic Agents	MeSH
522	carvedilol	PA	D018663	Adrenergic Agents	MeSH
569	celiprolol	PA	D018663	Adrenergic Agents	MeSH
673	clenbuterol	PA	D018663	Adrenergic Agents	MeSH
704	clonidine	PA	D018663	Adrenergic Agents	MeSH
781	dapiprazole	PA	D018663	Adrenergic Agents	MeSH
788	debrisoquine	PA	D018663	Adrenergic Agents	MeSH
806	denopamine	PA	D018663	Adrenergic Agents	MeSH
812	desipramine	PA	D018663	Adrenergic Agents	MeSH
835	dexmedetomidine	PA	D018663	Adrenergic Agents	MeSH
887	dihydroergocristine	PA	D018663	Adrenergic Agents	MeSH
922	dipivefrine	PA	D018663	Adrenergic Agents	MeSH
937	dobutamine	PA	D018663	Adrenergic Agents	MeSH
948	dopexamine	PA	D018663	Adrenergic Agents	MeSH
951	dosulepin	PA	D018663	Adrenergic Agents	MeSH
954	doxazosin	PA	D018663	Adrenergic Agents	MeSH
972	duloxetine	PA	D018663	Adrenergic Agents	MeSH
4467	epanolol	PA	D018663	Adrenergic Agents	MeSH
1024	ephedrine	PA	D018663	Adrenergic Agents	MeSH
1028	epinephrine	PA	D018663	Adrenergic Agents	MeSH
1043	ergotamine	PA	D018663	Adrenergic Agents	MeSH
1054	esmolol	PA	D018663	Adrenergic Agents	MeSH
1101	etilefrine	PA	D018663	Adrenergic Agents	MeSH
1155	fenoterol	PA	D018663	Adrenergic Agents	MeSH
1239	formoterol	PA	D018663	Adrenergic Agents	MeSH
3952	guanabenz	PA	D018663	Adrenergic Agents	MeSH
1342	guanethidine	PA	D018663	Adrenergic Agents	MeSH
1343	guanfacine	PA	D018663	Adrenergic Agents	MeSH
1372	hexoprenaline	PA	D018663	Adrenergic Agents	MeSH
1415	idazoxan	PA	D018663	Adrenergic Agents	MeSH
1419	ifenprodil	PA	D018663	Adrenergic Agents	MeSH
1427	imipramine	PA	D018663	Adrenergic Agents	MeSH
1436	indenolol	PA	D018663	Adrenergic Agents	MeSH
1443	indoramin	PA	D018663	Adrenergic Agents	MeSH
1491	isoetarine	PA	D018663	Adrenergic Agents	MeSH
1499	isoprenaline	PA	D018663	Adrenergic Agents	MeSH
1510	isoxsuprine	PA	D018663	Adrenergic Agents	MeSH
1531	labetalol	PA	D018663	Adrenergic Agents	MeSH
1545	landiolol	PA	D018663	Adrenergic Agents	MeSH
431	levobunolol	PA	D018663	Adrenergic Agents	MeSH
1578	lidamidine	PA	D018663	Adrenergic Agents	MeSH
1593	lofexidine	PA	D018663	Adrenergic Agents	MeSH
1623	mabuterol	PA	D018663	Adrenergic Agents	MeSH
1634	maprotiline	PA	D018663	Adrenergic Agents	MeSH
1640	mazindol	PA	D018663	Adrenergic Agents	MeSH
1655	medetomidine	PA	D018663	Adrenergic Agents	MeSH
1658	medroxalol	PA	D018663	Adrenergic Agents	MeSH
1694	mephentermine	PA	D018663	Adrenergic Agents	MeSH
1697	mepindolol	PA	D018663	Adrenergic Agents	MeSH
1720	orciprenaline	PA	D018663	Adrenergic Agents	MeSH
1721	metaraminol	PA	D018663	Adrenergic Agents	MeSH
1732	methamphetamine	PA	D018663	Adrenergic Agents	MeSH
1753	methoxamine	PA	D018663	Adrenergic Agents	MeSH
1755	methoxyphenamine	PA	D018663	Adrenergic Agents	MeSH
1762	methyldopa	PA	D018663	Adrenergic Agents	MeSH
1779	metipranolol	PA	D018663	Adrenergic Agents	MeSH
1786	metoprolol	PA	D018663	Adrenergic Agents	MeSH
1796	mianserin	PA	D018663	Adrenergic Agents	MeSH
1803	midodrine	PA	D018663	Adrenergic Agents	MeSH
1808	milnacipran	PA	D018663	Adrenergic Agents	MeSH
4382	mirabegron	PA	D018663	Adrenergic Agents	MeSH
1816	mirtazapine	PA	D018663	Adrenergic Agents	MeSH
1855	moxisylyte	PA	D018663	Adrenergic Agents	MeSH
1865	nadolol	PA	D018663	Adrenergic Agents	MeSH
1873	naftopidil	PA	D018663	Adrenergic Agents	MeSH
3369	naphazoline	PA	D018663	Adrenergic Agents	MeSH
1887	nebivolol	PA	D018663	Adrenergic Agents	MeSH
1910	nicergoline	PA	D018663	Adrenergic Agents	MeSH
1940	nipradilol	PA	D018663	Adrenergic Agents	MeSH
1960	norepinephrine	PA	D018663	Adrenergic Agents	MeSH
1966	norfenefrine	PA	D018663	Adrenergic Agents	MeSH
1971	nortriptyline	PA	D018663	Adrenergic Agents	MeSH
1976	buphenine	PA	D018663	Adrenergic Agents	MeSH
3396	octopamine	PA	D018663	Adrenergic Agents	MeSH
4814	olodaterol	PA	D018663	Adrenergic Agents	MeSH
1993	opipramol	PA	D018663	Adrenergic Agents	MeSH
2027	oxprenolol	PA	D018663	Adrenergic Agents	MeSH
2030	oxyfedrine	PA	D018663	Adrenergic Agents	MeSH
2032	oxymetazoline	PA	D018663	Adrenergic Agents	MeSH
2078	penbutolol	PA	D018663	Adrenergic Agents	MeSH
2136	phenoxybenzamine	PA	D018663	Adrenergic Agents	MeSH
2140	phentermine	PA	D018663	Adrenergic Agents	MeSH
2142	phentolamine	PA	D018663	Adrenergic Agents	MeSH
2146	phenylephrine	PA	D018663	Adrenergic Agents	MeSH
2149	phenylpropanolamine	PA	D018663	Adrenergic Agents	MeSH
2176	pindolol	PA	D018663	Adrenergic Agents	MeSH
2199	pirbuterol	PA	D018663	Adrenergic Agents	MeSH
3486	practolol	PA	D018663	Adrenergic Agents	MeSH
4209	prazosin	PA	D018663	Adrenergic Agents	MeSH
2258	prenalterol	PA	D018663	Adrenergic Agents	MeSH
2261	prenylamine	PA	D018663	Adrenergic Agents	MeSH
2273	procaterol	PA	D018663	Adrenergic Agents	MeSH
1086	profenamine	PA	D018663	Adrenergic Agents	MeSH
2303	propranolol	PA	D018663	Adrenergic Agents	MeSH
2320	protriptyline	PA	D018663	Adrenergic Agents	MeSH
2346	quinidine	PA	D018663	Adrenergic Agents	MeSH
4508	racepinefrine	PA	D018663	Adrenergic Agents	MeSH
2361	reboxetine	PA	D018663	Adrenergic Agents	MeSH
2368	reproterol	PA	D018663	Adrenergic Agents	MeSH
2370	reserpine	PA	D018663	Adrenergic Agents	MeSH
2381	rilmenidine	PA	D018663	Adrenergic Agents	MeSH
2385	rimiterol	PA	D018663	Adrenergic Agents	MeSH
2390	ritodrine	PA	D018663	Adrenergic Agents	MeSH
2419	salmeterol	PA	D018663	Adrenergic Agents	MeSH
4151	silodosin	PA	D018663	Adrenergic Agents	MeSH
2464	sotalol	PA	D018663	Adrenergic Agents	MeSH
3577	oxedrine	PA	D018663	Adrenergic Agents	MeSH
2557	talinolol	PA	D018663	Adrenergic Agents	MeSH
2558	talipexole	PA	D018663	Adrenergic Agents	MeSH
2562	tamsulosin	PA	D018663	Adrenergic Agents	MeSH
3584	terazosin	PA	D018663	Adrenergic Agents	MeSH
2598	terbutaline	PA	D018663	Adrenergic Agents	MeSH
2605	tertatolol	PA	D018663	Adrenergic Agents	MeSH
2609	tetrabenazine	PA	D018663	Adrenergic Agents	MeSH
2665	tilisolol	PA	D018663	Adrenergic Agents	MeSH
4061	timolol	PA	D018663	Adrenergic Agents	MeSH
2683	tizanidine	PA	D018663	Adrenergic Agents	MeSH
710	cloranolol	PA	D018663	Adrenergic Agents	MeSH
2695	tolazoline	PA	D018663	Adrenergic Agents	MeSH
2723	tretoquinol	PA	D018663	Adrenergic Agents	MeSH
2747	trimazosin	PA	D018663	Adrenergic Agents	MeSH
2758	trimipramine	PA	D018663	Adrenergic Agents	MeSH
2782	tulobuterol	PA	D018663	Adrenergic Agents	MeSH
2784	tyramine	PA	D018663	Adrenergic Agents	MeSH
2796	urapidil	PA	D018663	Adrenergic Agents	MeSH
2820	viloxazine	PA	D018663	Adrenergic Agents	MeSH
2848	xamoterol	PA	D018663	Adrenergic Agents	MeSH
3659	yohimbine	PA	D018663	Adrenergic Agents	MeSH
95	adrafinil	PA	D000322	Adrenergic Agonists	MeSH
105	salbutamol	PA	D000322	Adrenergic Agonists	MeSH
155	amidefrine	PA	D000322	Adrenergic Agonists	MeSH
229	apraclonidine	PA	D000322	Adrenergic Agonists	MeSH
237	arbutamine	PA	D000322	Adrenergic Agonists	MeSH
295	befunolol	PA	D000322	Adrenergic Agonists	MeSH
384	bitolterol	PA	D000322	Adrenergic Agonists	MeSH
395	brimonidine	PA	D000322	Adrenergic Agonists	MeSH
673	clenbuterol	PA	D000322	Adrenergic Agonists	MeSH
704	clonidine	PA	D000322	Adrenergic Agonists	MeSH
806	denopamine	PA	D000322	Adrenergic Agonists	MeSH
835	dexmedetomidine	PA	D000322	Adrenergic Agonists	MeSH
922	dipivefrine	PA	D000322	Adrenergic Agonists	MeSH
937	dobutamine	PA	D000322	Adrenergic Agonists	MeSH
948	dopexamine	PA	D000322	Adrenergic Agonists	MeSH
1028	epinephrine	PA	D000322	Adrenergic Agonists	MeSH
1043	ergotamine	PA	D000322	Adrenergic Agonists	MeSH
1101	etilefrine	PA	D000322	Adrenergic Agonists	MeSH
1155	fenoterol	PA	D000322	Adrenergic Agonists	MeSH
1239	formoterol	PA	D000322	Adrenergic Agonists	MeSH
3952	guanabenz	PA	D000322	Adrenergic Agonists	MeSH
1343	guanfacine	PA	D000322	Adrenergic Agonists	MeSH
1372	hexoprenaline	PA	D000322	Adrenergic Agonists	MeSH
1491	isoetarine	PA	D000322	Adrenergic Agonists	MeSH
1499	isoprenaline	PA	D000322	Adrenergic Agonists	MeSH
1510	isoxsuprine	PA	D000322	Adrenergic Agonists	MeSH
1578	lidamidine	PA	D000322	Adrenergic Agonists	MeSH
1593	lofexidine	PA	D000322	Adrenergic Agonists	MeSH
1623	mabuterol	PA	D000322	Adrenergic Agonists	MeSH
1655	medetomidine	PA	D000322	Adrenergic Agonists	MeSH
1694	mephentermine	PA	D000322	Adrenergic Agonists	MeSH
1720	orciprenaline	PA	D000322	Adrenergic Agonists	MeSH
1721	metaraminol	PA	D000322	Adrenergic Agonists	MeSH
1753	methoxamine	PA	D000322	Adrenergic Agonists	MeSH
1755	methoxyphenamine	PA	D000322	Adrenergic Agonists	MeSH
1762	methyldopa	PA	D000322	Adrenergic Agonists	MeSH
1803	midodrine	PA	D000322	Adrenergic Agonists	MeSH
4382	mirabegron	PA	D000322	Adrenergic Agonists	MeSH
3369	naphazoline	PA	D000322	Adrenergic Agonists	MeSH
1960	norepinephrine	PA	D000322	Adrenergic Agonists	MeSH
1966	norfenefrine	PA	D000322	Adrenergic Agonists	MeSH
1976	buphenine	PA	D000322	Adrenergic Agonists	MeSH
3396	octopamine	PA	D000322	Adrenergic Agonists	MeSH
4814	olodaterol	PA	D000322	Adrenergic Agonists	MeSH
2030	oxyfedrine	PA	D000322	Adrenergic Agonists	MeSH
2032	oxymetazoline	PA	D000322	Adrenergic Agonists	MeSH
2146	phenylephrine	PA	D000322	Adrenergic Agonists	MeSH
2149	phenylpropanolamine	PA	D000322	Adrenergic Agonists	MeSH
2199	pirbuterol	PA	D000322	Adrenergic Agonists	MeSH
2258	prenalterol	PA	D000322	Adrenergic Agonists	MeSH
2273	procaterol	PA	D000322	Adrenergic Agonists	MeSH
4508	racepinefrine	PA	D000322	Adrenergic Agonists	MeSH
2368	reproterol	PA	D000322	Adrenergic Agonists	MeSH
2381	rilmenidine	PA	D000322	Adrenergic Agonists	MeSH
2385	rimiterol	PA	D000322	Adrenergic Agonists	MeSH
2390	ritodrine	PA	D000322	Adrenergic Agonists	MeSH
2419	salmeterol	PA	D000322	Adrenergic Agonists	MeSH
3577	oxedrine	PA	D000322	Adrenergic Agonists	MeSH
2558	talipexole	PA	D000322	Adrenergic Agonists	MeSH
2598	terbutaline	PA	D000322	Adrenergic Agonists	MeSH
2683	tizanidine	PA	D000322	Adrenergic Agonists	MeSH
2723	tretoquinol	PA	D000322	Adrenergic Agonists	MeSH
2782	tulobuterol	PA	D000322	Adrenergic Agonists	MeSH
2848	xamoterol	PA	D000322	Adrenergic Agonists	MeSH
1043	ergotamine	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
1694	mephentermine	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
1721	metaraminol	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
1753	methoxamine	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
1803	midodrine	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
2146	phenylephrine	PA	D058646	Adrenergic alpha-1 Receptor Agonists	MeSH
115	alfuzosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
429	bunazosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
522	carvedilol	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
954	doxazosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
1443	indoramin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
1531	labetalol	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
4209	prazosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
4151	silodosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
2562	tamsulosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
3584	terazosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
2747	trimazosin	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
2796	urapidil	PA	D058668	Adrenergic alpha-1 Receptor Antagonists	MeSH
229	apraclonidine	PA	D058647	Adrenergic alpha-2 Receptor Agonists	MeSH
395	brimonidine	PA	D058647	Adrenergic alpha-2 Receptor Agonists	MeSH
2797	ursodiol	EPC	N0000175802	Bile Acid	FDA
2797	ursodiol	Chemical/Ingredient	N0000006801	Bile Acids and Salts	FDA
1647	mechlorethamine	MoA	N0000000236	Alkylating Activity	FDA
1647	mechlorethamine	EPC	N0000175558	Alkylating Drug	FDA
2166	pilocarpine	MoA	N0000000104	Cholinergic Muscarinic Agonists	FDA
2166	pilocarpine	EPC	N0000175884	Cholinergic Receptor Agonist	FDA
26	fluorouracil	MoA	N0000000233	Nucleic Acid Synthesis Inhibitors	FDA
26	fluorouracil	EPC	N0000175595	Nucleoside Metabolic Inhibitor	FDA
852	diazepam	EPC	N0000175694	Benzodiazepine	FDA
852	diazepam	Chemical/Ingredient	N0000007542	Benzodiazepines	FDA
4452	clobetasol	EPC	N0000175576	Corticosteroid	FDA
4452	clobetasol	MoA	N0000175450	Corticosteroid Hormone Receptor Agonists	FDA
953	doxapram	PE	N0000009393	Increased Medullary Respiratory Drive	FDA
953	doxapram	EPC	N0000175716	Respiratory Stimulant	FDA
1300	glimepiride	EPC	N0000175608	Sulfonylurea	FDA
1300	glimepiride	Chemical/Ingredient	N0000008054	Sulfonylurea Compounds	FDA
228	apomorphine	EPC	N0000175580	Dopaminergic Agonist	FDA
533	cefdinir	EPC	N0000175488	Cephalosporin Antibacterial	FDA
533	cefdinir	Chemical/Ingredient	N0000011161	Cephalosporins	FDA
1949	nitrofurantoin	EPC	N0000175494	Nitrofuran Antibacterial	FDA
1949	nitrofurantoin	Chemical/Ingredient	N0000007658	Nitrofurans	FDA
1225	fluticasone propionate	EPC	N0000175576	Corticosteroid	FDA
1225	fluticasone propionate	MoA	N0000175450	Corticosteroid Hormone Receptor Agonists	FDA
4135	lisdexamfetamine	EPC	N0000175739	Central Nervous System Stimulant	FDA
4135	lisdexamfetamine	PE	N0000175729	Central Nervous System Stimulation	FDA
568	celecoxib	Chemical/Ingredient	N0000175721	Nonsteroidal Anti-inflammatory Compounds	FDA
568	celecoxib	EPC	N0000175722	Nonsteroidal Anti-inflammatory Drug	FDA
1218	flurazepam	EPC	N0000175694	Benzodiazepine	FDA
1218	flurazepam	Chemical/Ingredient	N0000007542	Benzodiazepines	FDA
254	atazanavir	EPC	N0000175889	Protease Inhibitor	FDA
432	bupivacaine	EPC	N0000175682	Amide Local Anesthetic	FDA
432	bupivacaine	Chemical/Ingredient	N0000007681	Amides	FDA
432	bupivacaine	PE	N0000175976	Local Anesthesia	FDA
1207	fluorescein	EPC	N0000175536	Diagnostic Dye	FDA
1207	fluorescein	MoA	N0000175533	Dyes	FDA
4249	povidone-iodine	EPC	N0000175486	Antiseptic	FDA
4249	povidone-iodine	Chemical/Ingredient	N0000007196	Iodine	FDA
114	alfentanil	MoA	N0000175684	Full Opioid Agonists	FDA
114	alfentanil	EPC	N0000175690	Opioid Agonist	FDA
1569	levofloxacin	EPC	N0000175937	Quinolone Antimicrobial	FDA
1569	levofloxacin	Chemical/Ingredient	N0000007606	Quinolones	FDA
4959	efalizumab	Chemical/Ingredient	N0000011174	Antibodies, Monoclonal	FDA
4959	efalizumab	MoA	N0000175856	CD11a-directed Antibody Interactions	FDA
4959	efalizumab	EPC	N0000175858	CD11a-directed Humanized IgG1 Antibody	FDA
897	diltiazem	MoA	N0000000069	Calcium Channel Antagonists	FDA
897	diltiazem	EPC	N0000175566	Calcium Channel Blocker	FDA
546	cefotaxime	EPC	N0000175488	Cephalosporin Antibacterial	FDA
546	cefotaxime	Chemical/Ingredient	N0000011161	Cephalosporins	FDA
